frame.number,frame.time_relative,eth.src,eth.dst,eth.type,ip.src,ip.dst,arp.src.hw_mac,arp.dst.hw_mac,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,frame.len,icmp.type,icmp.code,data,Label
"2012","325.022876304",,,,"104.18.131.236","10.0.3.15",,,"443","36590",,,"2976",,,,0
"2013","325.022883304",,,,"10.0.3.15","104.18.131.236",,,"36590","443",,,"56",,,,0
"2014","325.022977894",,,,"104.18.131.236","10.0.3.15",,,"443","36590",,,"16116",,,,0
"2015","325.022989389",,,,"10.0.3.15","104.18.131.236",,,"36590","443",,,"56",,,,0
"2016","325.023027221",,,,"104.18.131.236","10.0.3.15",,,"443","36590",,,"956",,,,0
"2017","325.040039608",,,,"23.42.154.34","10.0.3.15",,,"443","45944",,,"2592",,,,0
"2018","325.040077650",,,,"10.0.3.15","23.42.154.34",,,"45944","443",,,"56",,,,0
"2019","325.042868748",,,,"23.42.154.34","10.0.3.15",,,"443","45944",,,"7289",,,,0
"2020","325.042869069",,,,"13.224.81.71","10.0.3.15",,,"443","36460",,,"2976",,,,0
"2021","325.042917255",,,,"10.0.3.15","13.224.81.71",,,"36460","443",,,"56",,,,0
"2022","325.043050028",,,,"10.0.3.15","23.42.154.34",,,"45944","443",,,"56",,,,0
"2023","325.043108338",,,,"13.224.81.71","10.0.3.15",,,"443","36460",,,"1456",,,,0
"2024","325.043118041",,,,"10.0.3.15","13.224.81.71",,,"36460","443",,,"56",,,,0
"2025","325.043955493",,,,"13.224.81.71","10.0.3.15",,,"443","36460",,,"1712",,,,0
"2026","325.043987407",,,,"10.0.3.15","13.224.81.71",,,"36460","443",,,"56",,,,0
"2027","325.055475956",,,,"10.0.3.15","13.224.81.71",,,"36460","443",,,"120",,,,0
"2028","325.055761489",,,,"13.224.81.71","10.0.3.15",,,"443","36460",,,"62",,,,0
"2029","325.056135843",,,,"10.0.3.15","13.224.81.71",,,"36460","443",,,"226",,,,0
"2030","325.056321028",,,,"13.224.81.71","10.0.3.15",,,"443","36460",,,"62",,,,0
"2031","325.056344250",,,,"10.0.3.15","13.224.81.71",,,"36460","443",,,"315",,,,0
"2032","325.056547259",,,,"13.224.81.71","10.0.3.15",,,"443","36460",,,"62",,,,0
"2033","325.056864315",,,,"23.42.154.34","10.0.3.15",,,"443","45944",,,"1714",,,,0
"2034","325.056883091",,,,"10.0.3.15","23.42.154.34",,,"45944","443",,,"56",,,,0
"2035","325.063743556",,,,"10.0.3.15","104.18.131.236",,,"36590","443",,,"56",,,,0
"2036","325.073768703",,,,"13.224.81.71","10.0.3.15",,,"443","36460",,,"273",,,,0
"2037","325.076424555",,,,"10.0.3.15","13.224.81.71",,,"36460","443",,,"87",,,,0
"2038","325.076578707",,,,"13.224.81.71","10.0.3.15",,,"443","36460",,,"62",,,,0
"2039","325.086942430",,,,"13.224.81.71","10.0.3.15",,,"443","36460",,,"8816",,,,0
"2040","325.087102831",,,,"10.0.3.15","13.224.81.71",,,"36460","443",,,"56",,,,0
"2041","325.087251295",,,,"13.224.81.71","10.0.3.15",,,"443","36460",,,"1376",,,,0
"2042","325.088871793",,,,"13.224.81.71","10.0.3.15",,,"443","36460",,,"8696",,,,0
"2043","325.088927069",,,,"10.0.3.15","13.224.81.71",,,"36460","443",,,"56",,,,0
