frame.number,frame.time_relative,eth.src,eth.dst,eth.type,ip.src,ip.dst,arp.src.hw_mac,arp.dst.hw_mac,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,frame.len,icmp.type,icmp.code,data,Label
"179","214.942824575",,,,,,"08:00:27:c5:8a:4d","08:00:27:7a:78:e3",,,,,"44",,,,3
"180","214.942864900",,,,,,"08:00:27:c5:8a:4d","08:00:27:cb:7e:f5",,,,,"44",,,,3
"181","214.952996222",,,,,,"08:00:27:c5:8a:4d","08:00:27:7a:78:e3",,,,,"44",,,,3
"182","214.953037189",,,,,,"08:00:27:c5:8a:4d","08:00:27:e3:b4:61",,,,,"44",,,,3
"183","224.963275424",,,,,,"08:00:27:c5:8a:4d","08:00:27:7a:78:e3",,,,,"44",,,,3
"184","224.963328814",,,,,,"08:00:27:c5:8a:4d","08:00:27:e2:f2:de",,,,,"44",,,,3
"185","224.980196133",,,,,,"08:00:27:c5:8a:4d","08:00:27:7a:78:e3",,,,,"44",,,,3
"186","224.980239935",,,,,,"08:00:27:c5:8a:4d","08:00:27:cb:7e:f5",,,,,"44",,,,3
"187","224.990407564",,,,,,"08:00:27:c5:8a:4d","08:00:27:7a:78:e3",,,,,"44",,,,3
"188","224.990473378",,,,,,"08:00:27:c5:8a:4d","08:00:27:e3:b4:61",,,,,"44",,,,3
"189","235.000701384",,,,,,"08:00:27:c5:8a:4d","08:00:27:7a:78:e3",,,,,"44",,,,3
"190","235.000741419",,,,,,"08:00:27:c5:8a:4d","08:00:27:e2:f2:de",,,,,"44",,,,3
"191","235.010903348",,,,,,"08:00:27:c5:8a:4d","08:00:27:7a:78:e3",,,,,"44",,,,3
"192","235.010966155",,,,,,"08:00:27:c5:8a:4d","08:00:27:cb:7e:f5",,,,,"44",,,,3
"193","235.021149044",,,,,,"08:00:27:c5:8a:4d","08:00:27:7a:78:e3",,,,,"44",,,,3
"194","235.021220478",,,,,,"08:00:27:c5:8a:4d","08:00:27:e3:b4:61",,,,,"44",,,,3
"195","245.054751075",,,,,,"08:00:27:c5:8a:4d","08:00:27:7a:78:e3",,,,,"44",,,,3
"196","245.054974164",,,,,,"08:00:27:c5:8a:4d","08:00:27:e2:f2:de",,,,,"44",,,,3
"197","245.065174405",,,,,,"08:00:27:c5:8a:4d","08:00:27:7a:78:e3",,,,,"44",,,,3
"198","245.065271607",,,,,,"08:00:27:c5:8a:4d","08:00:27:cb:7e:f5",,,,,"44",,,,3
"199","245.075499499",,,,,,"08:00:27:c5:8a:4d","08:00:27:7a:78:e3",,,,,"44",,,,3
"200","245.075565142",,,,,,"08:00:27:c5:8a:4d","08:00:27:e3:b4:61",,,,,"44",,,,3
